LotFrontage,LotArea,Street,OverallQual,YearBuilt,BsmtQual,TotalBsmtSF,CentralAir,GrLivArea,PoolArea,GarageArea
53.0,3922,Pave,7,2006,Ex,1258,Y,1258,0,648
70.0,8750,Pave,7,1994,Gd,915,Y,1908,0,493
73.0,9855,Pave,6,1956,TA,1436,Y,1689,0,480
137.0,16492,Pave,6,1966,TA,1517,Y,1888,0,578
,11214,Pave,7,1998,Gd,930,Y,1886,0,431
50.0,8600,Pave,6,1937,TA,780,Y,1376,0,198
50.0,6000,Pave,3,1948,TA,649,Y,1183,0,308
70.0,5684,Pave,6,1930,TA,813,Y,813,0,270
62.0,70761,Pave,7,1975,Gd,1533,Y,1533,0,576
,9303,Pave,6,1996,Ex,872,Y,1756,0,422
75.0,9000,Pave,8,2008,Gd,768,Y,1590,0,676
63.0,9297,Pave,5,1976,TA,1728,Y,1728,0,560
80.0,9600,Pave,7,1973,TA,1242,Y,1242,0,528
34.0,4571,Pave,5,1916,TA,624,N,1344,0,513
,53227,Pave,4,1954,Gd,1364,Y,1663,0,529
,5100,Pave,8,1925,TA,588,Y,1666,0,228
,7015,Pave,5,1950,TA,709,Y,1203,0,352
75.0,8004,Pave,8,2009,Gd,832,Y,1935,0,552
60.0,7200,Pave,7,1936,Gd,560,Y,1135,0,576
60.0,8281,Pave,5,1965,TA,864,Y,864,0,360
74.0,11988,Pave,6,1934,TA,715,Y,1660,0,240
60.0,8430,Pave,5,1978,Gd,1040,Y,1040,0,0
,3072,Pave,7,2004,Gd,1375,Y,1414,0,398
85.0,10628,Pave,7,1970,TA,1277,Y,1277,0,526
79.0,9480,Pave,5,1942,TA,728,Y,1644,0,312
98.0,11428,Pave,8,2006,Gd,1626,Y,1634,0,866
76.0,9291,Pave,6,1993,Gd,832,Y,1710,0,506
,6820,Pave,8,1985,Gd,1488,Y,1502,0,528
92.0,11952,Pave,7,1977,Gd,808,Y,1969,0,534
35.0,3675,Pave,6,2005,Gd,547,Y,1072,0,525
110.0,14977,Pave,8,2006,Ex,1976,Y,1976,0,908
41.0,5330,Pave,8,2000,Gd,1494,Y,1652,0,499
80.0,8480,Pave,5,1963,TA,970,Y,970,0,624
75.0,13125,Pave,6,1997,Gd,1478,Y,1493,0,508
105.0,13693,Pave,9,2006,Gd,2153,Y,2643,0,694
79.0,10637,Pave,8,2007,Ex,1705,Y,1718,0,826
50.0,5925,Pave,4,1937,Fa,907,Y,1131,0,672
98.0,16033,Pave,9,2004,Ex,1833,Y,1850,0,772
72.0,11846,Pave,9,2003,Ex,1792,Y,1792,0,874
50.0,2500,Pave,7,1915,TA,910,Y,1826,0,164
32.0,4500,Pave,6,1998,Ex,1216,Y,1216,0,402
,7758,Pave,5,1962,TA,999,Y,999,0,264
80.0,9600,Pave,5,1950,TA,1113,Y,1113,0,264
79.0,10289,Pave,5,1965,TA,1073,Y,1073,0,515
70.0,12243,Pave,5,1971,Gd,1484,Y,1484,0,487
60.0,10800,Pave,5,1900,TA,954,N,2414,0,520
21.0,1526,Pave,4,1970,Gd,630,Y,630,0,286
,2665,Pave,5,1976,Gd,264,Y,1304,0,336
79.0,9490,Pave,6,1941,TA,806,Y,1578,0,240
105.0,15578,Pave,6,2006,Gd,728,Y,1456,0,429
70.0,7931,Pave,5,1960,TA,1269,Y,1269,0,308
50.0,5784,Pave,5,1938,Fa,190,Y,886,0,273
60.0,7879,Pave,4,1920,TA,720,N,720,0,0
,12692,Pave,8,1992,Gd,3200,Y,3228,0,546
60.0,9120,Pave,7,1925,TA,1026,Y,1820,0,240
65.0,7800,Pave,5,1967,TA,864,Y,899,0,288
70.0,7535,Pave,5,1958,TA,912,Y,912,0,297
21.0,1890,Pave,6,1973,TA,672,Y,1218,0,264
75.0,9803,Pave,7,2005,Gd,866,Y,1768,0,603
70.0,9170,Pave,5,1965,TA,1214,Y,1214,0,461
100.0,15602,Pave,7,1959,TA,1501,Y,1801,0,484
24.0,2308,Pave,6,1974,TA,855,Y,1322,0,440
60.0,7596,Pave,5,1952,TA,960,Y,1960,0,400
80.0,9554,Pave,8,1993,Gd,777,Y,1911,0,471
75.0,7862,Pave,6,2009,Gd,1218,Y,1218,0,676
60.0,9600,Pave,7,1928,TA,689,Y,1378,0,360
80.0,9600,Pave,5,1959,TA,1041,Y,1041,0,270
75.0,14559,Pave,5,1951,TA,1008,Y,1363,0,288
40.0,6792,Pave,7,2005,Gd,1368,Y,1368,0,474
70.0,9100,Pave,5,1958,TA,864,Y,864,0,624
71.0,9187,Pave,6,1983,TA,1084,Y,1080,0,484
55.0,10594,Pave,5,1926,TA,768,N,789,0,200
94.0,12220,Pave,10,2009,Ex,2006,Y,2020,0,900
,10448,Pave,6,1972,TA,689,Y,2119,0,583
79.0,10208,Pave,7,1996,Gd,1264,Y,2344,0,889
,9531,Pave,6,1998,Gd,794,Y,1796,0,546
53.0,10918,Pave,7,1926,Gd,1276,Y,2080,0,282
60.0,10800,Pave,4,1900,,0,N,1294,0,0
90.0,11988,Pave,6,1957,TA,1244,Y,1244,0,336
50.0,5000,Pave,6,1947,TA,1004,Y,1664,0,420
130.0,40094,Pave,10,2007,Ex,3138,Y,4676,0,884
95.0,11787,Pave,7,1996,Gd,1379,Y,2398,0,834
62.0,7500,Pave,7,2005,Gd,1257,Y,1266,0,453
70.0,13300,Pave,5,1956,Gd,928,Y,928,0,252
67.0,14948,Pave,9,2008,Ex,1452,Y,2713,0,858
58.0,9098,Pave,4,1920,TA,528,Y,605,0,0
,32668,Pave,6,1957,TA,2035,Y,2515,0,484
85.0,10200,Pave,6,1988,Gd,1461,Y,1509,0,600
60.0,6155,Pave,6,1920,Fa,611,Y,1362,0,502
60.0,7200,Pave,5,1955,,0,Y,827,0,392
50.0,5000,Pave,1,1946,,0,N,334,0,0
74.0,9056,Pave,8,2004,Ex,707,Y,1414,0,403
70.0,7000,Pave,5,1910,Gd,1117,Y,1347,0,0
57.0,8924,Pave,7,1998,Gd,880,Y,1724,0,527
,12735,Pave,4,1972,TA,864,Y,864,0,576
,11553,Pave,5,1968,TA,1051,Y,1159,0,336
,11423,Pave,8,2001,Gd,1581,Y,1601,0,670
85.0,14601,Pave,9,2006,Ex,1838,Y,1838,0,765
,11000,Pave,8,2000,Gd,969,Y,2285,0,648
78.0,10140,Pave,7,1998,Ex,1650,Y,1680,0,583
34.0,4058,Pave,7,1998,Gd,723,Y,767,0,367
58.0,17104,Pave,7,2006,Gd,654,Y,1496,0,426
,13837,Pave,7,1988,Gd,1204,Y,2183,0,786
70.0,8737,Pave,6,1923,Gd,1065,Y,1635,0,440
54.0,7244,Pave,5,1970,Gd,768,Y,768,0,624
49.0,8235,Pave,5,1955,TA,825,Y,825,0,720
75.0,9375,Pave,7,2003,Gd,912,Y,2094,0,615
53.0,4043,Pave,6,1977,Gd,1069,Y,1069,0,440
50.0,6000,Pave,5,1957,TA,928,Y,928,0,288
87.0,11146,Pave,8,2006,Ex,1709,Y,1717,0,908
67.0,8777,Pave,4,1949,,0,Y,1126,0,520
85.0,10625,Pave,7,2003,Gd,998,Y,2046,0,871
58.0,6380,Pave,5,1922,TA,993,Y,1048,0,280
69.0,14850,Pave,5,1957,TA,1092,Y,1092,0,299
60.0,11040,Pave,4,1920,TA,637,Y,1336,0,570
57.0,21872,Pave,7,1996,Gd,729,Y,1446,0,406
,3196,Pave,7,2003,Gd,1374,Y,1557,0,420
,11341,Pave,5,1957,Gd,1392,Y,1392,0,528
77.0,10010,Pave,5,1974,Gd,1389,Y,1389,0,418
63.0,13907,Pave,5,1940,TA,996,Y,996,0,0
66.0,21780,Pave,6,1918,Gd,1163,Y,1674,0,396
,13346,Pave,7,1992,Gd,1095,Y,2295,0,590
66.0,6858,Pave,6,1915,Gd,806,N,1647,0,216
77.0,11198,Pave,9,2005,Gd,1122,Y,2504,0,656
70.0,10171,Pave,7,2004,Gd,1517,Y,1535,0,532
79.0,12327,Pave,8,1983,Gd,1496,Y,2132,0,612
,7032,Pave,5,1979,Gd,943,Y,943,0,600
74.0,13101,Pave,5,1965,TA,1728,Y,1728,0,576
60.0,7332,Pave,6,1959,TA,864,Y,864,0,288
83.0,13159,Pave,7,2009,Ex,846,Y,1692,0,650
76.0,9967,Pave,7,2000,Gd,384,Y,1430,0,400
70.0,10500,Pave,5,1971,TA,372,Y,1109,0,288
80.0,8480,Pave,5,1947,TA,832,Y,1216,0,336
52.0,6292,Pave,7,1928,TA,861,Y,1477,0,216
96.0,11777,Pave,5,1966,TA,1164,Y,1320,0,564
34.0,3604,Pave,7,2007,Gd,689,Y,1392,0,540
81.0,12150,Pave,5,1954,TA,1050,N,1795,0,352
,14585,Pave,6,1960,TA,1144,Y,1429,0,572
98.0,12704,Pave,8,2008,Ex,2042,Y,2042,0,1390
81.0,11841,Grvl,6,1990,Gd,816,Y,816,0,0
75.0,13500,Pave,10,1893,TA,1237,Y,2775,0,880
51.0,6120,Pave,4,1935,TA,884,Y,1573,0,240
88.0,11443,Pave,8,2005,Ex,1868,Y,2028,0,880
55.0,10267,Pave,6,1918,TA,816,Y,838,0,275
74.0,8740,Pave,5,1982,TA,840,Y,860,0,528
65.0,25095,Pave,5,1968,TA,1437,Y,1473,0,452
50.0,9100,Pave,5,1930,TA,742,Y,935,0,308
64.0,8320,Pave,7,2004,Gd,770,Y,1582,0,520
97.0,13478,Pave,10,2008,Ex,1722,Y,2296,0,842
60.0,6600,Pave,5,1982,TA,816,Y,816,0,816
,4435,Pave,6,2003,Gd,848,Y,848,0,420
88.0,7990,Pave,5,1975,Gd,924,Y,924,0,280
69.0,11302,Pave,8,2005,Gd,1814,Y,1826,0,758
60.0,3600,Pave,6,1910,TA,684,N,1368,0,216
53.0,3922,Pave,7,2006,Ex,1258,Y,1402,0,648
80.0,12984,Pave,5,1977,Gd,1430,Y,1647,0,621
24.0,1950,Pave,6,1980,Gd,716,Y,1556,0,452
74.0,10927,Pave,8,2005,Gd,1058,Y,1904,0,736
50.0,9000,Pave,6,1937,TA,780,Y,1375,0,544
80.0,10041,Pave,8,1992,Gd,908,Y,1915,0,506
30.0,3182,Pave,7,2004,Gd,600,Y,1200,0,480
88.0,12803,Pave,7,2002,Gd,1494,Y,1494,0,530
85.0,13600,Pave,7,1965,TA,768,Y,1986,0,486
82.0,12464,Pave,5,1996,Gd,1040,Y,1040,0,576
78.0,7800,Pave,5,1948,TA,896,Y,2008,0,230
78.0,12168,Pave,8,1934,Gd,965,Y,3194,0,380
61.0,7943,Pave,4,1961,TA,1029,Y,1029,0,261
,11050,Pave,9,2000,Ex,1440,Y,2153,0,736
,10395,Pave,6,1978,Gd,1032,Y,1032,0,564
,11885,Pave,8,2001,Gd,1299,Y,1872,0,531
70.0,8402,Pave,5,2007,Gd,1120,Y,1120,0,0
21.0,1491,Pave,4,1972,Gd,630,Y,630,0,0
80.0,8800,Pave,6,1963,TA,936,Y,1054,0,480
,7861,Pave,6,2002,Gd,783,Y,1509,0,393
59.0,7227,Pave,6,1954,TA,832,Y,832,0,528
90.0,11694,Pave,9,2007,Ex,1822,Y,1828,0,774
85.0,12244,Pave,8,2003,Gd,1482,Y,2262,0,749
45.0,8248,Pave,3,1914,TA,864,N,864,0,0
90.0,10800,Pave,6,1974,TA,1522,Y,2614,0,624
71.0,7064,Pave,5,1977,TA,980,Y,980,0,484
,2117,Pave,6,2000,Gd,756,Y,1512,0,440
80.0,10400,Pave,6,1972,TA,732,Y,1790,0,484
87.0,10000,Pave,6,1962,TA,1116,Y,1116,0,440
,12342,Pave,5,1960,TA,978,Y,1422,0,286
80.0,9600,Pave,6,1955,TA,1156,Y,1520,0,364
70.0,11606,Pave,5,1969,Gd,1040,Y,2080,0,504
82.0,9020,Pave,6,1964,TA,1248,Y,1350,0,520
50.0,9000,Pave,5,1880,Fa,636,Y,1750,0,240
34.0,4590,Pave,8,2006,Gd,1554,Y,1554,0,627
85.0,11900,Pave,7,1977,TA,1386,Y,1411,0,544
80.0,9250,Pave,5,1954,TA,1056,Y,1056,0,260
64.0,6979,Pave,6,1980,TA,1056,Y,1056,0,576
60.0,10896,Pave,6,1914,TA,1440,Y,3395,0,0
51.0,6120,Pave,2,1936,TA,264,N,800,0,0
50.0,6000,Pave,5,1954,TA,811,Y,1387,0,256
67.0,8777,Pave,5,1910,Fa,796,Y,796,0,0
53.0,3982,Pave,8,2006,Gd,1520,Y,1567,0,648
62.0,12677,Pave,8,2003,Ex,1518,Y,1518,0,588
,7050,Pave,7,2001,Gd,1057,Y,1929,0,650
75.0,13860,Pave,8,1972,Gd,1952,Y,2704,0,538
80.0,10793,Pave,5,1969,TA,780,Y,1620,0,462
85.0,9187,Pave,9,2009,Ex,1766,Y,1766,0,478
,10530,Pave,6,1971,TA,981,Y,981,0,576
60.0,7200,Pave,5,1950,,0,Y,1048,0,420
85.0,10452,Pave,6,1953,TA,1094,Y,1094,0,495
70.0,7700,Pave,6,1966,TA,756,Y,1839,0,442
21.0,1936,Pave,4,1970,Gd,630,Y,630,0,0
65.0,8125,Pave,7,2007,Gd,813,Y,1665,0,562
60.0,9084,Pave,4,1940,TA,755,Y,1510,0,296
70.0,8750,Pave,7,1996,Gd,880,Y,1716,0,512
60.0,10320,Pave,6,1906,TA,756,Y,1469,0,216
91.0,10437,Pave,8,1995,Gd,2109,Y,2113,0,839
21.0,1680,Pave,6,1971,TA,525,Y,1092,0,264
72.0,10007,Pave,5,1959,TA,1053,Y,1053,0,312
60.0,7200,Pave,7,1931,Gd,776,Y,1502,0,270
78.0,17503,Pave,6,1948,TA,912,Y,1458,0,330
75.0,9937,Pave,5,1964,TA,1486,Y,1486,0,480
,12384,Pave,7,1976,Gd,793,Y,1935,0,550
52.0,46589,Pave,8,1994,Gd,1629,Y,2448,0,711
120.0,13560,Pave,6,1968,Fa,1392,Y,1392,0,576
90.0,10012,Pave,4,1972,Gd,1138,Y,1181,0,588
49.0,20896,Pave,8,2005,Ex,2077,Y,2097,0,1134
106.0,11194,Pave,8,2000,Gd,1406,Y,1936,0,504
,18450,Pave,6,1965,Gd,1021,Y,2380,0,596
65.0,8125,Pave,6,1994,Gd,1408,Y,1679,0,575
,14175,Pave,5,1956,TA,1188,Y,1437,0,576
80.0,11600,Pave,4,1922,Fa,700,Y,1180,0,252
64.0,8633,Pave,6,2005,Gd,738,Y,1476,0,540
54.0,6629,Pave,6,1925,TA,672,N,1369,0,300
,11250,Pave,6,1977,Gd,1208,Y,1208,0,546
110.0,14442,Pave,6,1957,TA,1477,Y,1839,0,416
80.0,9200,Pave,6,1965,TA,1136,Y,1136,0,384
24.0,2289,Pave,6,1978,TA,855,Y,1441,0,440
60.0,9600,Pave,4,1900,TA,1095,N,1774,0,779
52.0,9022,Pave,5,1924,TA,768,Y,792,0,240
80.0,11844,Pave,8,2008,Ex,2046,Y,2046,0,834
,9945,Pave,5,1961,TA,988,Y,988,0,572
50.0,8012,Pave,6,1980,Gd,923,Y,923,0,264
55.0,4500,Pave,5,1932,TA,793,Y,1520,0,281
,2887,Pave,6,1996,Gd,1291,Y,1291,0,431
90.0,11248,Pave,9,2002,Gd,1626,Y,1668,0,702
58.0,16770,Pave,7,1998,Gd,1195,Y,1839,0,486
,5062,Pave,7,1984,Gd,1190,Y,2090,0,577
84.0,10207,Pave,7,2007,Gd,874,Y,1761,0,578
,5105,Pave,7,2004,Gd,551,Y,1102,0,480
60.0,8089,Pave,8,2007,Gd,1419,Y,1419,0,567
61.0,7577,Pave,6,2005,Gd,1362,Y,1362,0,460
,4426,Pave,6,2004,Gd,848,Y,848,0,420
104.0,21535,Pave,10,1994,Ex,2444,Y,4316,0,832
42.0,26178,Pave,7,1989,Gd,1210,Y,2519,0,628
60.0,5400,Pave,5,1921,TA,1073,Y,1073,0,326
51.0,6120,Pave,5,1936,TA,927,Y,1539,0,576
54.0,13811,Pave,6,1987,Gd,1112,Y,1137,0,551
50.0,6000,Pave,5,1921,TA,616,Y,616,0,205
57.0,6420,Pave,5,1952,Ex,980,Y,1148,0,308
65.0,8450,Pave,5,1965,TA,894,Y,894,0,336
59.0,4282,Pave,7,2004,Gd,1391,Y,1391,0,530
85.0,14331,Pave,8,2002,Ex,1800,Y,1800,0,765
80.0,9600,Pave,7,1969,TA,1164,Y,1164,0,528
82.0,12438,Pave,8,2006,Ex,1234,Y,2576,0,666
76.0,7630,Pave,5,1900,Gd,360,Y,1812,0,672
70.0,8400,Pave,7,2004,Gd,1473,Y,1484,0,606
70.0,5600,Pave,4,1930,,0,N,1092,0,0
,115149,Pave,7,1971,Gd,1643,Y,1824,0,739
48.0,6240,Pave,8,2006,Gd,1324,Y,1324,0,550
65.0,9018,Pave,7,2007,Gd,728,Y,1456,0,400
,7162,Pave,5,1966,TA,876,Y,904,0,408
56.0,4130,Pave,3,1935,TA,270,Y,729,0,0
66.0,8712,Pave,4,1900,TA,859,Y,1178,0,384
40.0,4671,Pave,8,1988,Gd,1228,Y,1228,0,472
60.0,9873,Pave,4,1970,TA,960,N,960,0,576
,13517,Pave,6,1976,TA,725,Y,1479,0,475
78.0,10140,Pave,6,1974,Gd,1064,Y,1350,0,478
60.0,10800,Pave,7,1890,TA,718,Y,2554,0,704
80.0,10000,Pave,5,1973,Gd,1176,Y,1178,0,439
96.0,10542,Pave,7,1993,Gd,1311,Y,2418,0,983
69.0,9920,Pave,5,1969,Gd,971,Y,971,0,300
,6563,Pave,8,1985,Gd,1742,Y,1742,0,564
,4426,Pave,6,2004,Gd,848,Y,848,0,420
70.0,8120,Pave,4,1970,TA,864,Y,864,0,463
60.0,8172,Pave,4,1954,TA,941,Y,1470,0,548
86.0,13286,Pave,9,2007,Ex,1698,Y,1698,0,768
60.0,6960,Pave,4,1970,TA,864,Y,864,0,660
,21695,Pave,6,1988,Gd,880,Y,1680,0,540
64.0,7314,Pave,7,2007,Gd,1232,Y,1232,0,632
85.0,11475,Pave,5,1958,TA,1584,Y,1776,0,888
52.0,6240,Pave,4,1925,TA,780,Y,1208,0,539
39.0,5389,Pave,8,1995,Gd,1595,Y,1616,0,608
73.0,9590,Pave,7,2003,Ex,868,Y,1146,0,438
75.0,11404,Pave,7,1998,Gd,1153,Y,2031,0,541
80.0,10000,Pave,5,1961,TA,864,Y,1144,0,264
,8978,Pave,5,1968,TA,948,Y,948,0,300
60.0,10800,Pave,7,1914,Gd,880,N,1768,0,320
60.0,8544,Pave,3,1950,,0,N,1040,0,400
72.0,10463,Pave,8,2005,Gd,893,Y,1801,0,800
60.0,10800,Pave,5,1987,Gd,1200,Y,1200,0,0
65.0,9313,Pave,7,2004,Gd,864,Y,1728,0,572
60.0,9600,Pave,5,1910,Fa,264,Y,1432,0,360
65.0,6768,Pave,6,1961,TA,912,Y,912,0,288
65.0,8450,Pave,7,2000,Gd,1349,Y,1349,0,539
70.0,12886,Pave,5,1963,Gd,520,Y,1464,0,480
41.0,5395,Pave,8,1993,Gd,1337,Y,1337,0,462
,8963,Pave,8,1976,TA,1142,Y,2715,0,831
,8795,Pave,7,2000,Gd,952,Y,2256,0,554
65.0,11700,Pave,7,1880,TA,1240,N,2640,0,864
59.0,10593,Pave,7,1996,Gd,1720,Y,1720,0,527
50.0,8405,Pave,4,1945,,0,N,1529,0,240
55.0,8800,Pave,4,1910,TA,576,Y,1140,0,0
,7750,Pave,7,2003,Gd,660,Y,1320,0,400
79.0,9236,Pave,6,1997,Gd,1479,Y,1494,0,576
80.0,10240,Pave,8,2005,Gd,1030,Y,2098,0,878
61.0,7930,Pave,6,1969,TA,1026,Y,1026,0,440
34.0,3230,Pave,6,1999,Gd,729,Y,1471,0,440
68.0,10769,Pave,8,2007,Gd,866,Y,1768,0,578
,11616,Pave,6,1978,TA,672,Y,1386,0,440
24.0,2280,Pave,7,1999,Gd,744,Y,1501,0,440
65.0,12257,Pave,8,1995,Gd,1318,Y,2531,0,752
70.0,9100,Pave,6,1959,TA,864,Y,864,0,300
60.0,6911,Pave,5,1924,TA,1145,Y,1301,0,440
72.0,8640,Pave,7,2009,Gd,756,Y,1547,0,614
82.0,9430,Pave,8,1999,Gd,1252,Y,2365,0,856
30.0,9549,Pave,8,1995,Gd,1494,Y,1494,0,481
75.0,14587,Pave,9,2008,Gd,1498,Y,1506,0,592
80.0,10421,Pave,7,1988,Gd,980,Y,1714,0,496
75.0,12508,Pave,6,1940,Gd,983,Y,1750,0,423
70.0,9100,Pave,7,2004,Gd,1860,Y,1836,0,484
47.0,53504,Pave,8,2003,Gd,1650,Y,3279,0,841
,7252,Pave,5,1982,Gd,858,Y,858,0,576
67.0,8877,Pave,4,1951,Fa,836,Y,1220,0,396
94.0,7819,Pave,6,1976,TA,1029,Y,1117,0,672
70.0,10150,Pave,5,1958,TA,912,Y,912,0,275
110.0,14226,Pave,8,2006,Gd,1935,Y,1973,0,895
32.0,4500,Pave,6,1998,Ex,1204,Y,1204,0,412
86.0,11210,Pave,7,2005,Gd,1614,Y,1614,0,865
100.0,13350,Pave,5,1974,TA,864,Y,894,0,440
60.0,8400,Pave,5,1977,,0,Y,2020,0,630
78.0,10530,Pave,6,1977,Gd,975,Y,1004,0,504
63.0,7875,Pave,7,1995,Gd,1237,Y,1253,0,402
65.0,7153,Pave,6,1992,Gd,761,Y,1603,0,484
67.0,16285,Pave,7,2001,Gd,1413,Y,1430,0,605
,9101,Pave,5,1978,Gd,1097,Y,1110,0,602
35.0,6300,Pave,6,1914,TA,742,Y,1484,0,0
,9790,Pave,6,1967,TA,1372,Y,1342,0,457
60.0,10800,Pave,5,1915,Fa,686,Y,1652,0,416
76.0,10142,Pave,7,2004,Gd,956,Y,2084,0,618
50.0,6000,Pave,4,1954,TA,901,Y,901,0,281
,12205,Pave,6,1966,TA,832,Y,2087,0,444
43.0,3182,Pave,7,2005,Gd,1145,Y,1145,0,397
,11333,Pave,6,1976,Gd,1029,Y,1062,0,539
92.0,9920,Pave,7,1996,Gd,1117,Y,2013,0,455
76.0,9158,Pave,8,2007,Gd,1496,Y,1496,0,474
,10832,Pave,7,1994,Gd,712,Y,1895,0,409
70.0,8400,Pave,6,1980,Gd,650,Y,1564,0,476
71.0,8197,Pave,6,1977,TA,660,Y,1285,0,528
57.0,7677,Pave,5,1953,TA,773,Y,773,0,240
104.0,13518,Pave,9,2008,Ex,1926,Y,3140,0,820
60.0,7200,Pave,5,1937,Gd,731,Y,1768,0,240
79.0,12798,Pave,6,1997,Gd,616,Y,1688,0,603
40.0,4800,Pave,4,1916,TA,1196,Y,1196,0,440
63.0,8199,Pave,7,2005,Gd,728,Y,1456,0,410
107.0,13891,Pave,9,2008,Ex,1734,Y,2822,0,1020
75.0,9000,Pave,5,1954,TA,936,Y,1128,0,286
91.0,12274,Pave,7,2008,Gd,1417,Y,1428,0,554
75.0,9750,Pave,5,1967,TA,980,Y,980,0,384
144.0,21384,Pave,5,1923,TA,1324,Y,1576,0,528
85.0,13400,Pave,5,1966,TA,1024,Y,1086,0,484
90.0,8100,Pave,5,1898,TA,849,N,2138,0,360
78.0,10140,Pave,6,1974,TA,1040,Y,1309,648,484
,4438,Pave,6,2004,Gd,848,Y,848,0,420
66.0,8712,Grvl,5,1952,TA,540,N,1044,0,504
75.0,9750,Pave,6,1958,TA,1442,Y,1442,0,301
45.0,8248,Pave,5,1918,TA,686,Y,1250,0,280
48.0,12137,Pave,7,1998,Gd,1649,Y,1661,0,598
,11425,Pave,5,1954,TA,1008,Y,1008,0,275
,13265,Pave,8,2002,Gd,1568,Y,1689,0,857
80.0,8816,Pave,6,1971,TA,1010,Y,1052,0,440
44.0,6371,Pave,7,2009,Gd,1358,Y,1358,0,484
72.0,7226,Pave,7,2003,Gd,798,Y,1640,0,595
60.0,6000,Pave,4,1953,Fa,936,N,936,0,576
,12394,Pave,7,2003,Gd,847,Y,1733,0,433
60.0,9900,Pave,6,1940,TA,778,Y,1489,0,240
81.0,11216,Pave,8,2006,Gd,1489,Y,1489,0,776
114.0,14803,Pave,10,2007,Ex,2078,Y,2084,0,1220
50.0,6130,Pave,5,1924,TA,784,Y,784,0,0
65.0,8529,Pave,7,2001,Gd,1454,Y,1434,0,527
,28698,Pave,5,1967,TA,1013,Y,2126,0,538
24.0,2544,Pave,7,2005,Gd,600,Y,1223,0,480
80.0,11900,Pave,6,1957,TA,1392,Y,1392,0,458
30.0,3180,Pave,7,2005,Gd,600,Y,1200,0,480
44.0,9548,Pave,7,2003,Gd,941,Y,1829,0,613
100.0,10004,Pave,6,1964,TA,1516,Y,1516,0,472
75.0,7875,Pave,5,1961,TA,1144,Y,1144,0,456
60.0,9600,Pave,4,1950,Gd,1067,Y,1067,0,436
90.0,8100,Pave,5,1948,TA,1559,Y,1559,0,812
21.0,1680,Pave,6,1973,TA,483,Y,987,0,264
75.0,9525,Pave,5,1995,Gd,1099,Y,1099,0,352
70.0,11767,Pave,5,1946,TA,768,Y,1200,0,240
,12155,Pave,6,1925,TA,672,N,1482,0,400
60.0,10440,Pave,5,1904,TA,650,Y,1539,0,686
82.0,9020,Pave,6,1966,TA,1127,Y,1165,0,490
80.0,8000,Pave,5,1961,TA,1800,N,1800,0,0
100.0,12665,Pave,5,1915,TA,876,Y,1416,0,720
,16647,Pave,5,1975,Gd,1390,Y,1701,0,611
75.0,9317,Pave,7,1993,Gd,740,Y,1775,0,425
36.0,15523,Pave,5,1972,TA,864,Y,864,0,338
75.0,45600,Pave,6,1908,TA,907,Y,2358,0,360
80.0,9600,Pave,6,1976,TA,528,Y,1855,0,512
36.0,4435,Pave,6,2003,Gd,848,Y,848,0,420
,3196,Pave,8,2003,Gd,1273,Y,1456,0,400
53.0,7128,Pave,7,1941,TA,918,Y,1646,0,240
,12095,Pave,6,1964,TA,1127,Y,1445,0,645
102.0,17920,Pave,5,1955,TA,1763,Y,1779,0,454
,6897,Pave,5,1962,TA,1040,Y,1040,0,260
,10970,Pave,6,1978,Gd,940,Y,1026,0,576
65.0,8125,Pave,6,1994,Gd,702,Y,1481,0,343
80.0,10400,Pave,7,1976,Gd,1090,Y,1370,0,479
,11029,Pave,6,1968,TA,1054,Y,2654,0,619
55.0,7642,Pave,7,1918,TA,912,Y,1426,0,216
75.0,11625,Pave,5,1965,TA,1039,Y,1039,0,504
81.0,9672,Pave,6,1984,Gd,1040,Y,1097,0,480
70.0,7931,Pave,5,1959,TA,1148,Y,1148,0,672
72.0,8640,Pave,7,2007,Ex,1372,Y,1372,0,529
,8750,Pave,5,1970,TA,1002,Y,1002,0,902
67.0,10656,Pave,8,2006,Gd,1638,Y,1646,0,870
85.0,6970,Pave,4,1961,TA,1040,Y,1120,0,544
,14762,Pave,5,1948,,0,Y,2320,0,672
80.0,9938,Pave,7,1993,Gd,1050,Y,1949,0,574
60.0,6600,Pave,5,1962,TA,894,N,894,0,308
70.0,8750,Pave,6,1998,Gd,804,Y,1682,0,523
74.0,8892,Pave,5,1953,TA,105,Y,910,0,414
60.0,12144,Pave,5,1949,TA,832,Y,1268,0,288
52.0,5720,Pave,5,1941,TA,676,Y,1131,0,200
75.0,9000,Pave,8,2007,Gd,1184,Y,2610,0,550
94.0,25286,Pave,4,1963,TA,1064,Y,1040,0,648
74.0,8834,Pave,9,2004,Ex,1462,Y,2224,0,738
88.0,11782,Pave,5,1961,TA,1109,Y,1155,0,576
,7000,Pave,5,1978,TA,864,Y,864,0,336
60.0,7024,Pave,5,2005,Ex,1090,Y,1090,0,450
44.0,13758,Pave,7,1990,Gd,1156,Y,1717,0,400
,9636,Pave,6,1992,Gd,808,Y,1593,0,389
60.0,6204,Pave,4,1912,TA,795,N,2230,0,440
65.0,7150,Pave,5,1967,TA,892,Y,892,0,288
50.0,5119,Pave,9,1999,Ex,1698,Y,1709,0,506
70.0,8393,Pave,5,1959,TA,1626,Y,1712,0,588
59.0,16466,Pave,5,1955,TA,816,Y,1393,0,300
